[13:29:31] 🎯 СИГНАЛ OP/USDT:USDT SELL
[13:29:32] 📦 Стрим OP/USDT:USDT (Limit): sell 1291
[13:29:54] 🎯 СИГНАЛ APT/USDT:USDT SELL
[13:29:55] 📦 Стрим APT/USDT:USDT (Limit): sell 162
[13:29:59] 🎯 СИГНАЛ ORDI/USDT:USDT SELL
[13:29:59] 📦 Стрим ORDI/USDT:USDT (Limit): sell 36
[13:30:02] 🎯 Выставляю Тейк №1: 14 по 4.289
[13:30:02] 📦 Стрим ORDI/USDT:USDT (Limit): buy 14
[13:30:03] 📡 ORDI/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:06] 📡 ORDI/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:10] 📡 ORDI/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:13] 📡 ORDI/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:16] 📡 ORDI/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:19] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:22] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:25] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:28] 🎯 Выставляю Тейк №1: 64 по 0.9561
[13:30:28] 📦 Стрим APT/USDT:USDT (Limit): buy 64
[13:30:29] 📡 APT/USDT:USDT | Prof: 0.07% | BE: -1.2% | Time: 0m | Vol: 162
[13:30:29] 📡 ORDI/USDT:USDT | Prof: 0.07% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:32] 📡 APT/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 162
[13:30:33] 📡 ORDI/USDT:USDT | Prof: 0.07% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:36] 📡 APT/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 162
[13:30:36] 📡 ORDI/USDT:USDT | Prof: 0.07% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:39] 📡 APT/USDT:USDT | Prof: 0.0% | BE: -1.2% | Time: 0m | Vol: 162
[13:30:40] 📡 ORDI/USDT:USDT | Prof: 0.07% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:43] 📡 APT/USDT:USDT | Prof: 0.05% | BE: -1.2% | Time: 0m | Vol: 162
[13:30:43] 📡 ORDI/USDT:USDT | Prof: 0.07% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:46] 📡 APT/USDT:USDT | Prof: 0.05% | BE: -1.2% | Time: 0m | Vol: 162
[13:30:47] 📡 ORDI/USDT:USDT | Prof: 0.12% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:50] 📡 APT/USDT:USDT | Prof: 0.05% | BE: -1.2% | Time: 0m | Vol: 162
[13:30:50] 📡 ORDI/USDT:USDT | Prof: 0.12% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:53] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 0m | Vol: 162
[13:30:54] 📡 ORDI/USDT:USDT | Prof: 0.12% | BE: -1.2% | Time: 0m | Vol: 36
[13:30:57] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 0m | Vol: 162
[13:30:57] 📡 ORDI/USDT:USDT | Prof: 0.12% | BE: -1.2% | Time: 0m | Vol: 36
[13:31:01] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 0m | Vol: 162
[13:31:01] 📡 ORDI/USDT:USDT | Prof: 0.16% | BE: -1.2% | Time: 0m | Vol: 36
[13:31:04] 📡 APT/USDT:USDT | Prof: 0.08% | BE: -1.2% | Time: 0m | Vol: 162
[13:31:05] 📡 ORDI/USDT:USDT | Prof: 0.16% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:08] 📡 APT/USDT:USDT | Prof: 0.09% | BE: -1.2% | Time: 0m | Vol: 162
[13:31:08] 📡 ORDI/USDT:USDT | Prof: 0.16% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:11] 📡 APT/USDT:USDT | Prof: 0.09% | BE: -1.2% | Time: 0m | Vol: 162
[13:31:12] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:15] 📡 APT/USDT:USDT | Prof: 0.12% | BE: -1.2% | Time: 0m | Vol: 162
[13:31:15] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:18] 📡 APT/USDT:USDT | Prof: 0.12% | BE: -1.2% | Time: 0m | Vol: 162
[13:31:19] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:22] 📡 APT/USDT:USDT | Prof: 0.06% | BE: -1.2% | Time: 0m | Vol: 162
[13:31:22] 📡 ORDI/USDT:USDT | Prof: 0.07% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:26] 📡 APT/USDT:USDT | Prof: 0.06% | BE: -1.2% | Time: 0m | Vol: 162
[13:31:26] 📡 ORDI/USDT:USDT | Prof: 0.07% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:29] 📡 APT/USDT:USDT | Prof: 0.17% | BE: -1.2% | Time: 1m | Vol: 162
[13:31:30] 📡 ORDI/USDT:USDT | Prof: 0.16% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:33] 📡 APT/USDT:USDT | Prof: 0.17% | BE: -1.2% | Time: 1m | Vol: 162
[13:31:33] 📡 ORDI/USDT:USDT | Prof: 0.16% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:36] 📡 APT/USDT:USDT | Prof: 0.17% | BE: -1.2% | Time: 1m | Vol: 162
[13:31:37] 📡 ORDI/USDT:USDT | Prof: 0.16% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:40] 📡 APT/USDT:USDT | Prof: 0.17% | BE: -1.2% | Time: 1m | Vol: 162
[13:31:40] 📡 ORDI/USDT:USDT | Prof: 0.16% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:43] 📡 APT/USDT:USDT | Prof: 0.22% | BE: -1.2% | Time: 1m | Vol: 162
[13:31:44] 📡 ORDI/USDT:USDT | Prof: 0.21% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:47] 📡 APT/USDT:USDT | Prof: 0.22% | BE: -1.2% | Time: 1m | Vol: 162
[13:31:48] 📡 ORDI/USDT:USDT | Prof: 0.21% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:51] 📡 APT/USDT:USDT | Prof: 0.22% | BE: -1.2% | Time: 1m | Vol: 162
[13:31:51] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:54] 📡 APT/USDT:USDT | Prof: 0.22% | BE: -1.2% | Time: 1m | Vol: 162
[13:31:55] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 1m | Vol: 36
[13:31:58] 📡 APT/USDT:USDT | Prof: 0.17% | BE: -1.2% | Time: 1m | Vol: 162
[13:31:58] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 1m | Vol: 36
[13:32:01] 📡 APT/USDT:USDT | Prof: 0.17% | BE: -1.2% | Time: 1m | Vol: 162
[13:32:02] 📡 ORDI/USDT:USDT | Prof: 0.16% | BE: -1.2% | Time: 1m | Vol: 36
[13:32:05] 📡 APT/USDT:USDT | Prof: 0.17% | BE: -1.2% | Time: 1m | Vol: 162
[13:32:05] 📡 ORDI/USDT:USDT | Prof: 0.16% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:09] 📡 APT/USDT:USDT | Prof: 0.22% | BE: -1.2% | Time: 1m | Vol: 162
[13:32:09] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:12] 📡 APT/USDT:USDT | Prof: 0.22% | BE: -1.2% | Time: 1m | Vol: 162
[13:32:13] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:16] 📡 APT/USDT:USDT | Prof: 0.22% | BE: -1.2% | Time: 1m | Vol: 162
[13:32:16] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:19] 📡 APT/USDT:USDT | Prof: 0.23% | BE: -1.2% | Time: 1m | Vol: 162
[13:32:20] 📡 ORDI/USDT:USDT | Prof: 0.09% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:23] 📡 APT/USDT:USDT | Prof: 0.23% | BE: -1.2% | Time: 1m | Vol: 162
[13:32:23] 📡 ORDI/USDT:USDT | Prof: 0.09% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:26] 📡 APT/USDT:USDT | Prof: 0.22% | BE: -1.2% | Time: 1m | Vol: 162
[13:32:27] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:30] 📡 APT/USDT:USDT | Prof: 0.22% | BE: -1.2% | Time: 2m | Vol: 162
[13:32:30] 📡 ORDI/USDT:USDT | Prof: 0.14% | BE: -1.2% | Time: 2m | Vol: 36
[13:32:33] 📡 APT/USDT:USDT | Prof: 0.22% | BE: -1.2% | Time: 2m | Vol: 162
